HealthTopic,Time,RegionName,Value
Syphilis,2017,Belgium,1493
Syphilis,2017,Bulgaria,516
Syphilis,2017,Cyprus,21
Syphilis,2017,Czechia,578
Syphilis,2017,Germany,7531
Syphilis,2017,Denmark,325
Syphilis,2017,Estonia,34
Syphilis,2017,Greece,395
Syphilis,2017,Spain,4941
Syphilis,2017,Finland,175
Syphilis,2017,France,1748
Syphilis,2017,Croatia,29
Syphilis,2017,Hungary,728
Syphilis,2017,Ireland,403
Syphilis,2017,Iceland,52
Syphilis,2017,Italy,1631
Syphilis,2017,Lithuania,157
Syphilis,2017,Luxembourg,31
Syphilis,2017,Latvia,139
Syphilis,2017,Malta,62
Syphilis,2017,Netherlands,1519
Syphilis,2017,Norway,223
Syphilis,2017,Poland,1593
Syphilis,2017,Portugal,105
Syphilis,2017,Romania,823
Syphilis,2017,Sweden,385
Syphilis,2017,Slovenia,48
Syphilis,2017,Slovakia,379
Syphilis,2017,United Kingdom,7798
Gonorrhoea,2017,Belgium,2271
Gonorrhoea,2017,Bulgaria,67
Gonorrhoea,2017,Cyprus,2
Gonorrhoea,2017,Czechia,1394
Gonorrhoea,2017,Denmark,1915
Gonorrhoea,2017,Estonia,56
Gonorrhoea,2017,Greece,129
Gonorrhoea,2017,Spain,8200

Gonorrhoea,2017,Finland,598
Gonorrhoea,2017,France,9177
Gonorrhoea,2017,Croatia,30
Gonorrhoea,2017,Hungary,1030
Gonorrhoea,2017,Ireland,2250
Gonorrhoea,2017,Iceland,98
Gonorrhoea,2017,Italy,850
Gonorrhoea,2017,Lithuania,70
Gonorrhoea,2017,Luxembourg,12
Gonorrhoea,2017,Latvia,181
Gonorrhoea,2017,Montenegro,4
Gonorrhoea,2017,North Macedonia,4
Gonorrhoea,2017,Malta,105
Gonorrhoea,2017,Netherlands,6794
Gonorrhoea,2017,Norway,1399
Gonorrhoea,2017,Poland,138
Gonorrhoea,2017,Portugal,474
Gonorrhoea,2017,Romania,77
Gonorrhoea,2017,Serbia,81
Gonorrhoea,2017,Sweden,2518
Gonorrhoea,2017,Slovenia,113
Gonorrhoea,2017,Slovakia,385
Gonorrhoea,2017,Turkey,131
Gonorrhoea,2017,United Kingdom,49156
Hepatitis B,2017,Austria,657
Hepatitis B,2017,Cyprus,33
Hepatitis B,2017,Czechia,226
Hepatitis B,2017,Germany,5
Hepatitis B,2017,Denmark,255
Hepatitis B,2017,Estonia,11
Hepatitis B,2017,Finland,259
Hepatitis B,2017,Croatia,4
Hepatitis B,2017,Ireland,429
Hepatitis B,2017,Iceland,61
Hepatitis B,2017,Luxembourg,1
Hepatitis B,2017,Latvia,300
Hepatitis B,2017,Malta,17
Hepatitis B,2017,Netherlands,1092
Hepatitis B,2017,Norway,458
Hepatitis B,2017,Poland,887
Hepatitis B,2017,Portugal,79
Hepatitis B,2017,Sweden,1120
Hepatitis B,2017,Slovenia,37
Hepatitis B,2017,Slovakia,90
Hepatitis B,2017,United Kingdom,9524
Hepatitis C,2017,Austria,522
Hepatitis C,2017,Cyprus,21
Hepatitis C,2017,Czechia,820
Hepatitis C,2017,Germany,1793
Hepatitis C,2017,Denmark,180
Hepatitis C,2017,Estonia,115
Hepatitis C,2017,Greece,148
Hepatitis C,2017,Spain,131
Hepatitis C,2017,Croatia,1
Hepatitis C,2017,Ireland,99
Hepatitis C,2017,Iceland,57
Hepatitis C,2017,Latvia,1652
Hepatitis C,2017,Malta,5
Hepatitis C,2017,Poland,750
Hepatitis C,2017,Portugal,141
Hepatitis C,2017,Romania,3
Hepatitis C,2017,Sweden,1185
Hepatitis C,2017,Slovenia,111
Hepatitis C,2017,Slovakia,139
Hepatitis C,2017,United Kingdom,2097
Chlamydia infection,2017,Belgium,8093
Chlamydia infection,2017,Bulgaria,230
Chlamydia infection,2017,Cyprus,1
Chlamydia infection,2017,Denmark,32932
Chlamydia infection,2017,Estonia,1132
Chlamydia infection,2017,Greece,85
Chlamydia infection,2017,Spain,9478
Chlamydia infection,2017,Finland,14462
Chlamydia infection,2017,France,17672
Chlamydia infection,2017,Croatia,194
Chlamydia infection,2017,Hungary,923
Chlamydia infection,2017,Ireland,7390
Chlamydia infection,2017,Iceland,2197
Chlamydia infection,2017,Italy,600
Chlamydia infection,2017,Lithuania,397
Chlamydia infection,2017,Luxembourg,39
Chlamydia infection,2017,Latvia,1517
Chlamydia infection,2017,Malta,293
Chlamydia infection,2017,Netherlands,21444
Chlamydia infection,2017,Norway,25130
Chlamydia infection,2017,Poland,258
Chlamydia infection,2017,Portugal,333
Chlamydia infection,2017,Romania,20
Chlamydia infection,2017,Sweden,34298
Chlamydia infection,2017,Slovenia,266
Chlamydia infection,2017,Slovakia,613
Chlamydia infection,2017,United Kingdom,230482
HIV infection,2017,Albania,94
HIV infection,2017,Austria,270
HIV infection,2017,Bosnia and Herzegovina,12
HIV infection,2017,Belgium,890
HIV infection,2017,Bulgaria,241
HIV infection,2017,Cyprus,85
HIV infection,2017,Czechia,254
HIV infection,2017,Denmark,242
HIV infection,2017,Estonia,219
HIV infection,2017,Greece,628
HIV infection,2017,Spain,3249
HIV infection,2017,Finland,158
HIV infection,2017,France,5211
HIV infection,2017,Croatia,106
HIV infection,2017,Hungary,223
HIV infection,2017,Ireland,483
HIV infection,2017,Iceland,24
HIV infection,2017,Italy,3443
HIV infection,2017,Lithuania,263
HIV infection,2017,Luxembourg,59
HIV infection,2017,Latvia,371
HIV infection,2017,Montenegro,26
HIV infection,2017,Malta,45
HIV infection,2017,Netherlands,716
HIV infection,2017,Norway,213
HIV infection,2017,Poland,1325
HIV infection,2017,Portugal,1068
HIV infection,2017,Romania,661
HIV infection,2017,Serbia,178
HIV infection,2017,Sweden,434
HIV infection,2017,Slovenia,39
HIV infection,2017,Slovakia,70
HIV infection,2017,United Kingdom,4363
HIV infection,2017,Kosovo,3
AIDS infection,2017,Albania,33
AIDS infection,2017,Austria,56
AIDS infection,2017,Bosnia and Herzegovina,4
AIDS infection,2017,Bulgaria,49
AIDS infection,2017,Cyprus,16
AIDS infection,2017,Czechia,52
AIDS infection,2017,Denmark,28
AIDS infection,2017,Estonia,20
AIDS infection,2017,Greece,112
AIDS infection,2017,Spain,406
AIDS infection,2017,Finland,18
AIDS infection,2017,France,392
AIDS infection,2017,Croatia,20
AIDS infection,2017,Hungary,52
AIDS infection,2017,Ireland,16
AIDS infection,2017,Italy,690
AIDS infection,2017,Lithuania,54
AIDS infection,2017,Luxembourg,6
AIDS infection,2017,Latvia,118
AIDS infection,2017,Montenegro,13
AIDS infection,2017,Netherlands,115
AIDS infection,2017,Norway,14
AIDS infection,2017,Poland,101
AIDS infection,2017,Portugal,234
AIDS infection,2017,Romania,283
AIDS infection,2017,Serbia,56
AIDS infection,2017,Slovenia,7
AIDS infection,2017,Slovakia,9
AIDS infection,2017,United Kingdom,262
AIDS infection,2017,Kosovo,6
Syphilis,2018,Belgium,1901
Syphilis,2018,Bulgaria,485
Syphilis,2018,Cyprus,44
Syphilis,2018,Czechia,596
Syphilis,2018,Germany,7367
Syphilis,2018,Denmark,322
Syphilis,2018,Estonia,27
Syphilis,2018,Greece,389
Syphilis,2018,Spain,4826
Syphilis,2018,Finland,181
Syphilis,2018,France,1606
Syphilis,2018,Croatia,35
Syphilis,2018,Hungary,675
Syphilis,2018,Ireland,485
Syphilis,2018,Iceland,22
Syphilis,2018,Italy,1526
Syphilis,2018,Lithuania,130
Syphilis,2018,Luxembourg,104
Syphilis,2018,Latvia,104
Syphilis,2018,Malta,85
Syphilis,2018,Netherlands,1355
Syphilis,2018,Norway,231
Syphilis,2018,Poland,1445
Syphilis,2018,Portugal,255
Syphilis,2018,Romania,638
Syphilis,2018,Sweden,479
Syphilis,2018,Slovenia,52
Syphilis,2018,Slovakia,433
Syphilis,2018,United Kingdom,8328
Gonorrhoea,2018,Albania,8
Gonorrhoea,2018,Belgium,2822
Gonorrhoea,2018,Bulgaria,39
Gonorrhoea,2018,Cyprus,3
Gonorrhoea,2018,Czechia,1428
Gonorrhoea,2018,Denmark,2197
Gonorrhoea,2018,Estonia,53
Gonorrhoea,2018,Greece,147
Gonorrhoea,2018,Spain,10505
Gonorrhoea,2018,Finland,501
Gonorrhoea,2018,France,3990
Gonorrhoea,2018,Croatia,38
Gonorrhoea,2018,Hungary,1249
Gonorrhoea,2018,Ireland,2412
Gonorrhoea,2018,Iceland,104
Gonorrhoea,2018,Italy,905
Gonorrhoea,2018,Lithuania,72
Gonorrhoea,2018,Luxembourg,15
Gonorrhoea,2018,Latvia,162
Gonorrhoea,2018,Montenegro,4
Gonorrhoea,2018,North Macedonia,1
Gonorrhoea,2018,Malta,121
Gonorrhoea,2018,Netherlands,6424
Gonorrhoea,2018,Norway,1659
Gonorrhoea,2018,Poland,185
Gonorrhoea,2018,Portugal,846
Gonorrhoea,2018,Romania,46
Gonorrhoea,2018,Serbia,71
Gonorrhoea,2018,Sweden,2717
Gonorrhoea,2018,Slovenia,157
Gonorrhoea,2018,Slovakia,285
Gonorrhoea,2018,Turkey,86
Gonorrhoea,2018,United Kingdom,61775
Gonorrhoea,2018,Kosovo,6
Hepatitis B,2018,Austria,588
Hepatitis B,2018,Cyprus,81
Hepatitis B,2018,Czechia,269
Hepatitis B,2018,Germany,38
Hepatitis B,2018,Denmark,155
Hepatitis B,2018,Estonia,15
Hepatitis B,2018,Finland,235
Hepatitis B,2018,Croatia,46
Hepatitis B,2018,Ireland,468
Hepatitis B,2018,Iceland,40
Hepatitis B,2018,Luxembourg,47
Hepatitis B,2018,Latvia,301
Hepatitis B,2018,Malta,15
Hepatitis B,2018,Netherlands,1023
Hepatitis B,2018,Norway,353
Hepatitis B,2018,Poland,819
Hepatitis B,2018,Portugal,98
Hepatitis B,2018,Romania,1
Hepatitis B,2018,Sweden,1053
Hepatitis B,2018,Slovenia,69
Hepatitis B,2018,Slovakia,85
Hepatitis B,2018,United Kingdom,6953
Hepatitis C,2018,Austria,455
Hepatitis C,2018,Cyprus,39
Hepatitis C,2018,Czechia,928
Hepatitis C,2018,Germany,2328
Hepatitis C,2018,Denmark,175
Hepatitis C,2018,Estonia,144
Hepatitis C,2018,Greece,124
Hepatitis C,2018,Spain,764
