RegionName,RegionCode,Time,TotalValue
Belgium,BE,2017,17419
Bulgaria,BG,2017,1187
Cyprus,CY,2017,206
Czechia,CZ,2017,4472
Germany,DE,2017,22351
Denmark,DK,2017,36330
Estonia,EE,2017,1787
Greece,GR,2017,1682
Spain,ES,2017,28639
EU/EEA (without UK),EU/EEA,2017,311010
EU/EEA (with UK),EU/EEA,2017,633420
Finland,FI,2017,18437
France,FR,2017,34284
Croatia,HR,2017,599
Hungary,HU,2017,3016
Ireland,IE,2017,12587
Iceland,IS,2017,2646
Italy,IT,2017,8032
Lithuania,LT,2017,990
Luxembourg,LU,2017,426
Latvia,LV,2017,6947
Malta,MT,2017,571
Netherlands,NL,2017,31892
Norway,NO,2017,29379
Poland,PL,2017,15109
Portugal,PT,2017,2942
Romania,RO,2017,2164
Sweden,SE,2017,43685
Slovenia,SI,2017,787
Slovakia,SK,2017,2080
United Kingdom,GB,2017,327035
Albania,AL,2017,127
Montenegro,ME,2017,43
North Macedonia,MK,2017,4
Serbia,RS,2017,315
Turkey,TR,2017,131
Kosovo,XKG,2017,9
Austria,AT,2017,4222
Bosnia and Herzegovina,BA,2017,16
EU/EEA,EU/EEA,2017,28483
Belgium,BE,2018,16298
Bulgaria,BG,2018,1164
Cyprus,CY,2018,305
Czechia,CZ,2018,4481
Germany,DE,2018,28376
Denmark,DK,2018,36955
Estonia,EE,2018,1701
Greece,GR,2018,1655
Spain,ES,2018,34561
EU/EEA (without UK),EU/EEA,2018,292682
EU/EEA (with UK),EU/EEA,2018,649317
Finland,FI,2018,18834
France,FR,2018,11012
Croatia,HR,2018,963
Hungary,HU,2018,3044
Ireland,IE,2018,13264
Iceland,IS,2018,2185
Italy,IT,2018,7840
Lithuania,LT,2018,700
Luxembourg,LU,2018,448
Latvia,LV,2018,5852
Malta,MT,2018,684
Netherlands,NL,2018,28642
Norway,NO,2018,30944
Poland,PL,2018,13528
Portugal,PT,2018,3480
Romania,RO,2018,1967
Sweden,SE,2018,41249
Slovenia,SI,2018,910
Slovakia,SK,2018,2180
United Kingdom,GB,2018,361343
Albania,AL,2018,157
Montenegro,ME,2018,41
North Macedonia,MK,2018,50
Serbia,RS,2018,257
Turkey,TR,2018,3442
Kosovo,XKG,2018,22
Austria,AT,2018,3905
Czech Republic,CZ,2018,246
Liechtenstein,LI,2018,0
Andorra,AD,2018,12
Armenia,AM,2018,630
Azerbaijan,AZ,2018,838
Belarus,BY,2018,2768
Bosnia and Herzegovina,BA,2018,36
Georgia,GE,2018,868
Israel,IL,2018,478
Kazakhstan,KZ,2018,3646
Kyrgyzstan,KG,2018,932
Moldova,MD,2018,1269
Monaco,MC,2018,0
Russia,RU,2018,0
San Marino,SM,2018,3
Serbia excluding Kosovo,RS,2018,240
Switzerland,CH,2018,470
Tajikistan,TJ,2018,0
Turkmenistan,TM,2018,0
Ukraine,UA,2018,24588
Uzbekistan,UZ,2018,0
Belgium,BE,2019,13802
Bulgaria,BG,2019,1037
Cyprus,CY,2019,299
Czechia,CZ,2019,5152
Germany,DE,2019,33636
Denmark,DK,2019,39041
Estonia,EE,2019,1729
Greece,GR,2019,1650
Spain,ES,2019,36659
EU/EEA (without UK),EU/EEA,2019,309650
